denumire,cui,localitate,judet,tip,autorizatie,telefon,sursa,email
TRADING LINE FLEET SRL,,,,TRANSPORT PUBLIC DE MARFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 129 GL,0741225516,anr_autorizatii,
TTS PORTURI FLUVIALE SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAILE NAVIGABILE INTERIOARE,TPMCN 155 GL,0236416204,anr_autorizatii,
VARD BRAILA SA,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAILE NAVIGABILE INTERIOARE,TPMCN 133 GL,0239607003,anr_autorizatii,
VEGA COMPANY SRL GALAŢI,,,,TRANSPORT PUBLIC DE PASAGERI PE CAI NAVIGABILE INTERIOARE,TPMCN 136 GL,0236306080,anr_autorizatii,
MARE SAPIDA SRL,,,,TRANSPORT PUBLIC DE PASAGERI PE CAI NAVIGABILE INTERIOARE,TPMCN 176 GL,0723058642,anr_autorizatii,
ARLECHIN SRL TULCEA,,,,TRANSPORT PUBLIC DE PASAGERI ȘI MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 109 TL,0744481485,anr_autorizatii,
AZIMUT SRL TULCEA,,,,TRANSPORT PUBLIC DE PASAGERI ȘI MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 115 TL,0240518847,anr_autorizatii,
CABINET MEDICAL DR NASTASE GEORGE MARIAN SRL SULINA,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 95 TL,0745016149,anr_autorizatii,
CASIAN VALENTIN PERSOANĂ FIZICA AUTORIZATĂ,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 97 TL,0745570987,anr_autorizatii,
COMPLEX DELTA SRL TULCEA,,,,TRANSPORT PUBLIC DE PASAGERI ȘI MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 107 TL,0722513232,anr_autorizatii,
COSMICRIST SRL TULCEA,,,,TRANSPORT PUBLIC DE PASAGERI ȘI MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 88 TL,0240534676,anr_autorizatii,
