name,cnpj,trade_name,country,status,org_type
FUND MEDICO HOSP ASSIST SAO SEBASTIAO MUNIC DE BURITI,07072382000108,,BR,,government
MUNICIPIO DE PAULO RAMOS - CAMARA MUNICIPAL,07074271000130,,BR,,government
INSTITUTO DE PREVIDENCIA MUNICIPAL DE PEQUI,07074460000103,,BR,,government
FUNDO ESTADUAL DE TRANSPORTE,07074543000100,,BR,,government
FUNDO ESTADUAL DE TRANSPORTE,07074543000283,,BR,,government
FUNDO ESTADUAL DE TRANSPORTE,07074543000364,,BR,,government
COMARCA DE ALTO TAQUARI,07074873000198,,BR,,government
FUNDO DE INDUSTRIALIZACAO DO ESTADO DA PARAIBA - FUNDESP,07077648000105,,BR,,government
CONSORCIO INTERMUNICIPAL DO RIBEIRAO PIRAI,07078236000190,,BR,,government
FUEMP/RR - FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE RORAIMA,07078552000161,,BR,,government
INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS DE POMBOS,07080825000102,,BR,,government
CONSELHO REGIONAL DE MEDICINA VETERINARIA DO ESTADO DO PIAUI,07083538000156,,BR,,government
MARCIO APARECIDO RODRIGUES AMORIM,07083609000110,,BR,,government
FRANCISCO ALENCAR NETO,07086013000174,,BR,,government
CONSELHO REGIONAL DE CONTABILIDADE DO CEARA,07093503000106,,BR,,government
SERVICO AUTONOMO DE AGUA E ESGOTO DE CAMOCIM,07095193000150,,BR,,government
FUNDAO MELQUISEDEC,07095725000150,,BR,,government
CETAS-CENTRO DE EDUCACAO TEC PROFISSIONAL NA AREA DE SAUDE DE RONDONIA,07098779000179,,BR,,government
MUNICIPIO DE DIRCEU ARCOVERDE,07102106000145,,BR,,government
FUNDO MUNICIPAL DE TURISMO,07104786000136,,BR,,government
FORUM DA COMARCA DE PARANAITA,07108925000108,,BR,,government
CONSELHO MUNICIPAL DOS DIREITOS DA CRIANCA E DO ADOLESCENTE,07109356000107,,BR,,government
INST DE ESTATISTICA E INFORMATICA DO ESTADO DO CEARA,07109622000100,,BR,,government
CONSELHO TUTELAR DE MAURILANDIA,07113268000189,,BR,,government
CENTRO FED ED TECNOLOGICA CELSO SUCKOW DA FONSECA - UNIDADE DESCENTRALIZADA DE NOVA IGUACU,07115805000120,,BR,,government
CONSELHO MUNICIPAL DOS DIREITOS DA CRIANCA E DO ADOLECENTE,07116087000106,,BR,,government
CONSELHO MUNICIPAL DOS DIREITOS DA CRIANCA E DO ADOLESCENTE,07119419000106,,BR,,government
FORUM DA COMARCA DE NOVA MONTE VERDE,07127704000179,,BR,,government
CENTRO GESTOR E OPERACIONAL DO SISTEMA DE PROTECAO DA AMAZONIA,07129796000126,,BR,,government
CENTRO GESTOR E OPERACIONAL DO SISTEMA DE PROTECAO DA AMAZONIA,07129796000207,,BR,,government
CENTRO GESTOR E OPERACIONAL DO SISTEMA DE PROTECAO DA AMAZONIA,07129796000398,,BR,,government
CENTRO GESTOR E OPERACIONAL DO SISTEMA DE PROTECAO DA AMAZONIA,07129796000479,,BR,,government
FUNDACAO DE ENSINO SUPERIOR DE MINACU,07131789000169,,BR,,government
CONSELHO ESCOLAR DA ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA ZULANIA DE FATIMA SIMIONATO SALAMONI,07133543000126,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601000150,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601000231,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601000312,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601000401,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601000584,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601000665,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601000746,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601000827,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601000908,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601001041,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601001122,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601001203,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601001394,,BR,,government
MUNICIPIO DE PEREIRO,07570518000100,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601001475,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601001556,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601001637,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARA,07135601001718,,BR,,government
DEPARTAMENTO ESTADUAL DE TRANSITO,07135668000195,,BR,,government
SECRETARIA MUNICIPAL DE SAUDE DE PALMEIRA DOS INDIOS,07135719000189,,BR,,government
CONSULADO HONORARIO DO TOGO,07136365000197,,BR,,government
CAMARA MUNICIPAL DE VEREADORES,07138946000168,,BR,,government
SERVICO AUTONOMO DE AGUA E ESGOTO DE CAUCAIA,07139041000102,,BR,,government
CAMARA MUNICIPAL DE MATRIZ DE CAMARAGIBE,07140113000131,,BR,,government
FUNDACAO DE VIGILANCIA EM SAUDE - FVS-AM,07141411000146,,BR,,government
CONSELHO MUNICIPAL DOS DIREITOS DA CRIANCA E DO ADOLESCENTE DE ITABAIANA,07143113000195,,BR,,government
