category,company,project_title,budget,county
constructii,Executia de lucrari de constructii,"Anunturi [proceduri de achizitie, beneficiari privati]: Executia de lucrari de constructii in cadrul proiectului Construire hala industriala",802857.0,Bihor
constructii,Reabilitarea Ansamblului Bisericii,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura competitiva - Atribuire contract executie lucrari - Proiect: Reabilitarea Ansamblului Bisericii Evanghelice Fortificate Agnita",4570784.89,Sibiu
constructii,CENTRUL DE AFACERI GREEN PARK SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura competitiva de achizitie lucrari de tamplarie aluminiu",9021.15,Vrancea
constructii,CENTRUL DE AFACERI GREEN PARK SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitia de lucrari din piatra naturala - arhitectura rest de executat",44793.74,Vrancea
constructii,CENTRUL DE AFACERI GREEN PARK SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitii lucrari instalatii electrice",106567.1,Vrancea
constructii,CENTRUL DE AFACERI GREEN PARK SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura competitiva achizitie lucrari de constructie",2524500.0,Vrancea
constructii,CORAMED MEDIZINISCHE PRODUKTE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructii",4079455.0,Bucuresti
constructii,CORAMED MEDIZINISCHE PRODUKTE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructii",4079455.07,Bucuresti
constructii,RITECH INTERNATIONAL IMPEX S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie de lucrari de constructie Grupa 2: Instalatii",2830019.59,Bucuresti
constructii,RITECH INTERNATIONAL IMPEX S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie de lucrari de constructie Grupa 1: Amenajari pentru protectia mediului, Constructii si instalatii si organizare de santier",3726189.0,Bucuresti
constructii,ACHIZITIE LUCRARI DE CONSTRUCTII,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE LUCRARI DE CONSTRUCTII SI DOTARI",3610559.57,Neamt
constructii,B-DUL AUREL VLAICU 135 CAMERA 15,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructie + utilaje,echipamente tehnologice",1003652.23,Constanta
constructii,B-DUL AUREL VLAICU 135 CAMERA 15,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructie + utilaje,echipamente tehnologice",1078616.24,Constanta
constructii,CENTRUL MEDICAL TRANSILVANIA SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie lucrari de executie pentru centrul de cercetare, in cadrul proiectului: Centru de cercetare si dezvoltare privind diagnosticul si tratamentul accidentelor vasculare cerebrale; SMIS: 121574",14556639.15,Cluj
constructii,CENTRUL MEDICAL TRANSILVANIA SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie lucrari de executie pentru centrul de cercetare, in cadrul proiectului: Centru de cercetare si dezvoltare privind diagnosticul si tratamentul accidentelor vasculare cerebrale; SMIS: 121574",9774948.97,Cluj
constructii,INDUSTRIAL PLASTIC RECYCLING SRL,-,2788024.7,Ilfov
constructii,INVESTIGATII MEDICALE PRAXIS SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie lucrari de constructie laborator de analize medicale si echipamente cu montaj aferente lucrarilor de constructie",3908679.09,Iasi
constructii,REI INTERNATIONAL CONSULTING SRL,-,6741769.47,Bucuresti
constructii,ECO TROUT FARMING LEAOTA S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Executie lucrari realizare investitie si a echipamentelor cu montaj pentru proiectul Infiintare unitate de acvacultura si dezvoltarea de activitati complementare acesteia  construire ferma pentru cresterea pastravului, captare de apa, priza tiroleza, desnisipator, statie de pompare, casa pastravarului D+P+M, cod SMIS 155916",3364449.24,Dambovita
constructii,ELECTRO-SERVICE DISTRIBUTIE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: EXECUTIE LUCRARI, INCLUSIV ECHIPAMENTE CU MONTAJ  REST DE EXECUTAT",2103063.09,Bucuresti
constructii,ELECTRO-SERVICE DISTRIBUTIE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: EXECUTIE LUCRARI, INCLUSIV ECHIPAMENTE CU MONTAJ",1780055.47,Bucuresti
constructii,ELECTRO-SERVICE DISTRIBUTIE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: EXECUTIE LUCRARI, INCLUSIV ECHIPAMENTE CU MONTAJ",2046915.68,Bucuresti
constructii,GROUP CONSTRUCT BUCOVINA S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructii",1504153.48,Suceava
constructii,GROUP CONSTRUCT BUCOVINA S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de Constructii",1504153.48,Suceava
constructii,GROUP CONSTRUCT BUCOVINA S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de Contructii",1504153.48,Suceava
constructii,MEDICAL BUSINESS MANAGEMENT SRL,constructii,5239985.06,Arad
constructii,ORGANIZARE DE SANTIER SI SPATII,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE DE LUCRARI INCLUSIV ECHIPAMENTE TEHNOLOGICE CU MONTAJ PENTRU REALIZAREA PROIECTULUI  PENSIUNE TURISTICA, IMPREJMUIRE, ORGANIZARE DE SANTIER SI SPATII VERZI",1226248.59,Constanta
constructii,ORGANIZARE DE SANTIER SI SPATII,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE DE LUCRARI INCLUSIV ECHIPAMENTE TEHNOLOGICE CU MONTAJ PENTRU REALIZAREA PROIECTULUI PENSIUNE TURISTICA, IMPREJMUIRE, ORGANIZARE DE SANTIER SI SPATII VERZI",944884.99,Constanta
constructii,ORGANIZARE DE SANTIER SI SPATII,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE DE LUCRARI INCLUSIV ECHIPAMENTE TEHNOLOGICE CU MONTAJ PENTRU REALIZAREA PROIECTULUI PENSIUNE TURISTICA, IMPREJMUIRE, ORGANIZARE DE SANTIER SI SPATII VERZI",1226248.59,Constanta
constructii,RESIDENCE LAKE TATLAGEAC S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructii in cadrul proiectului ""CONSTRUIRE PENSIUNE TURISTICA",1580648.9,Constanta
constructii,RESTAURARE ANSAMBLUL BISERICII,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de reabilitare - CONSOLIDARE, RESTAURARE ANSAMBLUL BISERICII UNITARIENE FORTIFICATE",4862653.38,Covasna
constructii,SMART INTEGRATED SOLUTIONS SRL,constructie a cladirii,6073788.06,Bucuresti
constructii,ANDMAN PREST CONSTRUCT S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE IN VEDEREA ATRIBUIRII CONTRACTULUI DE LUCRARI PROIECTARE SI EXECUTIE LUCRARI DE CONSTRUCTIE",924827.1,Hunedoara
constructii,CARGO TRANS INTERNATIONAL SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Rest de executat - lucrari de constructii si instalatii in cadrul proiectului CONSTRUIRE IMOBIL CU DESTINATIA HOTEL S+P+4 CU SPATII PENTRU ASIGURAREA HRANEI SI BAUTURILOR SI SPATII PENTRU CONFERINTE, CONVENTII SI ACTIVITATI RECREATIVE, PARCAJ IN INCINTA SI IMPREJMUIRE TEREN CU L=99 M",3320621.28,Dolj
constructii,CARGO TRANS INTERNATIONAL SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: CONSTRUIRE IMOBIL CU DESTINATIA HOTEL S+P+4 CU SPATII PENTRU ASIGURAREA HRANEI SI BAUTURILOR SI SPATII PENTRU CONFERINTE, CONVENTII SI ACTIVITATI RECREATIVE, PARCAJ IN INCINTA SI IMPREJMUIRE TEREN CU L=99 M",5027017.0,Dolj
constructii,INTEGRAL CHINCIU COMIMPEX SRL,-,7389887.74,Hunedoara
constructii,MARCOSTAR CONSTRUCT STIL S.A.,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie de lucrari de constructii si instalatii",21321083.97,Constanta
constructii,MARCOSTAR CONSTRUCT STIL S.A.,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari suplimentare de constructii",1142220.0,Constanta
constructii,NETWORK INNOVATION FUTURE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectare si executie lucrari in cadrul proiectului Investitii in infrastructura broadband in judetele Giurgiu si Teleorman",9626187.07,Bucuresti
constructii,NETWORK INNOVATION FUTURE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectare si executie lucrari in cadrul proiectului Investitii in infrastructura broadband in judetul Galati",13897903.57,Bucuresti
constructii,NETWORK INNOVATION FUTURE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectare si executie lucrari in cadrul proiectului Investitii in infrastructura broadband in judetul Vaslui",25134869.26,Bucuresti
constructii,NETWORK INNOVATION FUTURE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectare si executie lucrari in cadrul proiectului Investitii in infrastructura broadband in judetul Bistrita Nasaud""",11141665.28,Bucuresti
constructii,NETWORK INNOVATION FUTURE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectare si executie lucrari in cadrul proiectului Investitii in infrastructura broadband in judetul Olt",8959851.55,Bucuresti
constructii,NETWORK INNOVATION FUTURE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectare si executie lucrari in cadrul proiectului Investitii in infrastructura broadband in judetele Timis si Caras-Severin""",9938079.75,Bucuresti
constructii,NETWORK INNOVATION FUTURE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectare si executie lucrari in cadrul proiectului Investitii in infrastructura broadband in judetul Mures",9351439.69,Bucuresti
constructii,ORIZONT SIGHETU MARMATIEI SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE LUCRARI DE CONSTRUCTII PENTRU PROIECTUL HOTEL Dp+P+2E+Mp, IMPREJMUIRE SI SEMNALISTICA",10828180.33,Maramures
constructii,ALPHA QUALITY INNOVATION SRL,-,3790616.0,Giurgiu
echipamente,Sistem automatizare alimentare presa in vederea implementarii proiectului Cresterea competitivitatii economice a S.C. MUSA PITESTI 96 S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]:  Furnizare echipamente/utilaje tehnologice - (Sistem automatizare alimentare presa in vederea implementarii proiectului Cresterea competitivitatii economice a S.C. MUSA PITESTI 96 S.R.L. pe piata interna si externa prin dezvoltarea capacitatilor productive .",1707469.92,Arges
echipamente,ATRIBUIREA CONTRACTULUI DE FURNIZARE SETURI COMPLETE MOBILIER PENTRU PROIECTUL CONSTRUIRE IMOBIL CU APARTAMENTE DESTINATE CAZARII DE SC,"Anunturi [proceduri de achizitie, beneficiari privati]: ATRIBUIREA CONTRACTULUI DE FURNIZARE SETURI COMPLETE MOBILIER PENTRU PROIECTUL CONSTRUIRE IMOBIL CU APARTAMENTE DESTINATE CAZARII DE SCURTA DURATA, IMPREJMUIRE SI RACORDURI LA UTILITATI",163750.0,Neamt
echipamente,Contract de furnizare bunuri si dotari in cadrul Asociatiei Judetene a Vanatorilor si Pescarilor Sportivi Sa,"Anunturi [proceduri de achizitie, beneficiari privati]: Contract de furnizare bunuri si dotari in cadrul Asociatiei Judetene a Vanatorilor si Pescarilor Sportivi Satu Mare - achizitie pe loturi",145358.75,Satu Mare
echipamente,Dezvoltarea activitatii de pregatire a terenului in cadrul companiei DM Management & Capital Invest SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitionare utilaje tip miniincarcator in cadrul proiectului ""Dezvoltarea activitatii de pregatire a terenului in cadrul companiei DM Management & Capital Invest SRL la punctul de lucru din orasul Tulcea""",845436.0,Bucuresti
echipamente,in vederea implementarii proiectului Cresterea competitivitatii economice a S.C. MUSA PITESTI 96 S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Furnizare echipamente/utilaje tehnologice - (proiector optic)  in vederea implementarii proiectului Cresterea competitivitatii economice a S.C. MUSA PITESTI 96 S.R.L. pe piata interna si externa prin dezvoltarea capacitatilor productive",181365.58,Arges
echipamente,in vederea implementarii proiectului Cresterea competitivitatii economice a S.C. MUSA PITESTI 96 S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Furnizare echipamente/utilaje tehnologice - (presa)  in vederea implementarii proiectului Cresterea competitivitatii economice a S.C. MUSA PITESTI 96 S.R.L. pe piata interna si externa prin dezvoltarea capacitatilor productive .",2762751.2,Arges
echipamente,ACHIZITIA DE Masina de taiere si perforare cu laser cu software specific si alte accesorii,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIA DE Masina de taiere si perforare cu laser cu software specific si alte accesorii",1600000.0,Brasov
echipamente,ACHIZITIA DE Masina de taiere si perforare cu laser cu software specific si alte accesorii,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIA DE Masina de taiere si perforare cu laser cu software specific si alte accesorii",1540000.0,Brasov
echipamente,Procedura de atribuire a contractului de furnizare echipamente pentru procesa,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura de atribuire a contractului de furnizare echipamente pentru procesare primara peste",523856.0,Maramures
echipamente,Achizitia privata competitiva pentru - Achizitie de Servicii catering sc,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitia privata competitiva pentru - Achizitie de Servicii catering scoli- CPV 55524000-9",599460.0,Cluj
echipamente,Diversificarea si modernizarea activitatii SC N&A PROJECT CONSULTING SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie mijloace fixe in cadrul proiectului "" Diversificarea si modernizarea activitatii SC N&A PROJECT CONSULTING SRL prin achizitia unor utilaje moderne"" cod SMIS 108368",405637.61,Neamt
