CUI,DENUMIRE,CAEN,JUDET,TELEFON,STARE
23425205,LANDTECHNIK S.R.L.,4661,"JUD. SATU MARE, SAT SANTĂU COM. SANTĂU, NR.669",,INREGISTRAT din data 03.03.2008
12242563,LANTEC INDUSTRIES SRL,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 1, STR. STRABUNA, NR.1",4232840,INREGISTRAT din data 12.09.2005
23152873,LANTMEN SRL,4661,"JUD. GALAŢI, MUN. GALAŢI, STR. OVIDIU, NR.9, BL.M11, AP.5",0752849876,INREGISTRAT din data 31.01.2008
17524662,LAURA & NICU SRL,2830,"JUD. ARAD, ORŞ. LIPOVA, STR. MIHAI VITEAZUL, NR.28",,RELUARE ACTIVITATE din data 11.04.2016
46384856,LAVORI VERDI S.R.L.,4661,"JUD. TIMIŞ, MUN. TIMIŞOARA, STR. EUGENIU DE SAVOYA, NR.20, CAMERA 1, AP.12",,SUSPENDARE ACTIVITATE din data 01.01.2026
50151859,LC AGRO EQUIPMENT S.R.L.,4661,"JUD. BIHOR, MUN. ORADEA, STR. IASOMIEI, NR.29",0720098815,INREGISTRAT din data 29.05.2024
30813579,LEFAGRITEC SRL,4661,"JUD. GALAŢI, MUN. TECUCI, STR. GHEORGHE PETRAŞCU, NR.9, BL.E, SC.2, ET.PARTER, AP.16",0766358006,INREGISTRAT din data 22.10.2012
2415209,LEGMAS SA,2830,"JUD. CONSTANŢA, ORŞ. NĂVODARI, STR. AVIATOR C.H.AGARICI, NR.2",0241761778,INREGISTRAT din data 09.11.1992
2415209,LEGMAS SA,2830,"JUD. CONSTANŢA, ORŞ. NĂVODARI, STR. AVIATOR C.H.AGARICI, NR.2",0241761778,INREGISTRAT din data 09.11.1992
18459023,LEO DESIGN SRL,4661,"JUD. TELEORMAN, SAT BECIU COM. BECIU,",0247356906,INREGISTRAT din data 07.03.2006
38851420,LEOMARYCRIS S.R.L.,4661,"JUD. SUCEAVA, SAT MĂNEUŢI COM. FRĂTĂUŢII VECHI, NR.419",,INREGISTRAT din data 13.02.2018
32329410,LEONIDAS GER-ROM SRL,4661,"JUD. MEHEDINŢI, MUN. DROBETA-TURNU SEVERIN, CAL. TIMIŞOAREI, NR.198",0749894511,INREGISTRAT din data 08.10.2013
30263149,LEXION EUROPE SRL,4661,"JUD. ARGEŞ, SAT CATANELE COM. CĂTEASCA, NR.6A, CAMERA NR. 1, ET.PARTER",040757779268,INREGISTRAT din data 30.05.2012
40355550,LIBOTRANS UTILAJE S.R.L.,4661,"JUD. VRANCEA, SAT GOLOGANU COM. GOLOGANU, STR. PRIMĂVERII, NR.4",0760802309,INREGISTRAT din data 27.12.2018
