DISTRIBUITORI UTILAJE AGRICOLE DIN BAZA ANAF
Total firme scanate: 2,778,122
Data sursa: D:\MEMORY\CLAUDE\OPT\AGRI_SCRAPERS\anaf_all_romania_full.csv

================================================================================
CAEN 4661 - WHOLESALE AGRICULTURAL MACHINERY (1369 firme)
================================================================================

118. FARM AGRISOR S.R.L. | BACĂU | CAEN:4661 | 0764417677
119. AGRO-ENIGMA S.R.L. | BIHOR | CAEN:4661 | 0359191113
120. RAPIDEX S.R.L. | BIHOR | CAEN:4661 | 0744575327
121. RAPIDEX S.R.L. | BIHOR | CAEN:4661 | 0744575327
122. MIOTI MET S.R.L. | BIHOR | CAEN:4661 | 0722609744
123. INTEROFFICE TRADE SERVICE SRL | BIHOR | CAEN:4661 | 0259406293
124. WARDEIN SRL | BIHOR | CAEN:4661 | 
125. WARDEIN INTEGRAL SRL | BIHOR | CAEN:4661 | 0259411440
126. GENTLEMAN SERVCOM SRL | BIHOR | CAEN:4661 | 0258469363
127. INTERDAC TRADE SRL | BIHOR | CAEN:4661 | 478847
128. EUREX TRADING CO LTD S.R.L. | BIHOR | CAEN:4661 | 0745327732
129. ALEXANTO COMEXIM SRL | BIHOR | CAEN:4661 | 0740299667
130. RITTNER TRADING SRL | BIHOR | CAEN:4661 | 0722663550
131. VALCOMAR EXIM SRL | BIHOR | CAEN:4661 | 0744843495
132. ARCAFIN SRL | BIHOR | CAEN:4661 | 0259467301
133. AGROKER S.R.L. | BIHOR | CAEN:4661 | 
134. WESTSILVANIA PRODCOM SRL | BIHOR | CAEN:4661 | 0745520422
135. AKHERON SERV SRL | BIHOR | CAEN:4661 | 0259355344
136. AGRO MAX SRL | BIHOR | CAEN:4661 | 
137. LORGER SRL | BIHOR | CAEN:4661 | 
138. TOCATINO SRL | BIHOR | CAEN:4661 | 0744474510
139. AGRISORG SRL | BIHOR | CAEN:4661 | 0730511050
140. GALAXYMAR CONSULTING SRL | BIHOR | CAEN:4661 | 0259434751
141. DEFEND AGROSERVICE SRL | BIHOR | CAEN:4661 | 0722634555
142. AGRO FORTE SERVICE SRL | BIHOR | CAEN:4661 | 035942061
143. UNIVERSAL TRACTOR S.R.L. | BIHOR | CAEN:4661 | 0259356526
144. ROTAX SRL | BIHOR | CAEN:4661 | 0745320704
145. MACROWEST TRADING COMPANY S.R.L. | BIHOR | CAEN:4661 | 
146. EURO GREEN SRL | BIHOR | CAEN:4661 | 0359407689
147. OPTIMIT HIDRAULIC SRL | BIHOR | CAEN:4661 | 0259467594
148. ROWIRAX SRL | BIHOR | CAEN:4661 | 
149. WIRAX SRL | BIHOR | CAEN:4661 | 0744843495
150. PAPA ZULU S.R.L. | BIHOR | CAEN:4661 | 
151. ROMAGRO UTILAJ IMPORT EXPORT S.R.L. | BIHOR | CAEN:4661 | 0749206163
152. PROUTIL SRL | BIHOR | CAEN:4661 | 0259439999
153. TATI SRL | BIHOR | CAEN:4661 | 0259464845
154. ZOMARGA SRL | BIHOR | CAEN:4661 | 
155. FICO EXPERT SRL | BIHOR | CAEN:4661 | 
156. SEELEMAN UTILAJE S.R.L. | BIHOR | CAEN:4661 | 0744768754
157. AGRI MODERN UTILAJ S.R.L. | BIHOR | CAEN:4661 | 0748137249
158. PANAGROTEH SERVICE SRL | BIHOR | CAEN:4661 | 0747119101
159. SUDOMET DISTRIBUTION GROUP S.R.L. | BIHOR | CAEN:4661 | 0742603665
160. WIRAX DISTRIBUȚIE SRL | BIHOR | CAEN:4661 | 0744843495
161. HUNROM AGROTEHNICS SRL | BIHOR | CAEN:4661 | 0758026658
