judet,localitate,total_active,asociatii_active,fundatii_active,federatii_active,uniuni_active,persoane_juridice_straine_active
COVASNA,"LOC. BODOC, COM. BODOC",1,1,0,0,0,0
COVASNA,"LOC. GHIDFALAU, NR. 233/D",1,1,0,0,0,0
COVASNA,LOC. MICFALAU,1,1,0,0,0,0
COVASNA,LOC. VALEA MARE,1,1,0,0,0,0
COVASNA,LOC.BIBORTENI,1,1,0,0,0,0
COVASNA,LOC.BRETCU NR.412,1,1,0,0,0,0
COVASNA,LOCALITATEA BELANI NR.101,1,1,0,0,0,0
COVASNA,LUNGA,1,1,0,0,0,0
COVASNA,MALNAS,1,1,0,0,0,0
COVASNA,"MANASTIREA MARCUS,COM.DOBARLAU,SAT MARCUS",1,1,0,0,0,0
COVASNA,MERENI,1,1,0,0,0,0
COVASNA,"MICFALAU, NR. 431",1,1,0,0,0,0
COVASNA,"MICLOSOARA, Str.Principala, nr.198, jud.Covasna",1,1,0,0,0,0
COVASNA,"MIERCUREA CIUC,",1,1,0,0,0,0
COVASNA,MOACSA,1,1,0,0,0,0
COVASNA,MOACSA NR-282,1,1,0,0,0,0
COVASNA,"MOACSA, NR. 141",1,1,0,0,0,0
COVASNA,"MUN. SFANTU GHEORGHE,",1,1,0,0,0,0
COVASNA,"MUN. SFANTU GHEORGHE, SAT CHILIENI, NR. 139",1,1,0,0,0,0
COVASNA,"MUN. SFANTU GHEORGHE, SAT CHILIENI, NR. 34 A",1,1,0,0,0,0
COVASNA,"MUN. SFANTU GHEORGHE, SAT COSENI",1,1,0,0,0,0
COVASNA,"MUN. SFANTU GHEORGHE, STR. CRANGULUI, NR. 14, BL. 4, AP. 4",1,1,0,0,0,0
COVASNA,MUNICIPIUL SFÂNTU GHEORGHE,1,1,0,0,0,0
COVASNA,Mereni,1,1,0,0,0,0
COVASNA,Mun.Sf.Gheorghe,1,1,0,0,0,0
COVASNA,"Mun.Sf.Gheorghe, str.Tigaretei nr.57, jud. Covasna.",1,1,0,0,0,0
COVASNA,OJDULA NR.189,1,1,0,0,0,0
COVASNA,OJDULA NR.583/A,1,1,0,0,0,0
COVASNA,OJDULA NR.864,1,1,0,0,0,0
COVASNA,OR. BARAOLT - SAT BIBORTENI,1,1,0,0,0,0
COVASNA,OR.COVASNA STR.PODULUI NR.27A,1,1,0,0,0,0
COVASNA,OR.COVASNA STR.TIGLARIEI NR.9,1,1,0,0,0,0
COVASNA,"ORAS BARAOLT,",1,1,0,0,0,0
COVASNA,ORAŞ BARAOLT,1,1,0,0,0,0
COVASNA,OZUN,1,1,0,0,0,0
COVASNA,"Or.Baraolt, sat.Biborteni nr.198, jud.Covasna",1,1,0,0,0,0
COVASNA,"Potrivit Hotararii Adunarii Generale a membrilor din data de 09.01.2015, s-a hotarat schimbarea sediului Asociaþiei din mun. Sfantu Gheorghe, str.Crângului nr.29, bl.35, sc. C, ap.12 în mun. Sfantu Gheorghe, str.Grof Miko Imre nr.13, sc.C, ap.20;",1,1,0,0,0,0
COVASNA,"RACOSUL DE SUS, NR. 155",1,1,0,0,0,0
COVASNA,RECI,1,0,0,1,0,0
COVASNA,RM. VILCEA,1,1,0,0,0,0
COVASNA,"SANTIONLUNCA, NR.55",1,1,0,0,0,0
COVASNA,SARAMAS,1,1,0,0,0,0
COVASNA,SAT AITA MARE,1,1,0,0,0,0
COVASNA,"SAT AITA MARE, NR. 206",1,1,0,0,0,0
COVASNA,SAT AITA MEDIE,1,1,0,0,0,0
COVASNA,"SAT AITA MEDIE, NR. 168 A",1,1,0,0,0,0
COVASNA,SAT ALBIS,1,1,0,0,0,0
COVASNA,"SAT ARCUS, COMUNA ARCUS",1,1,0,0,0,0
COVASNA,"SAT ARIUSD, COM. VALCELE",1,1,0,0,0,0
COVASNA,"SAT BATANII MICI, COM. BATANI, NR. 226",1,1,0,0,0,0
COVASNA,"SAT BATANII MICI, NR. 227",1,1,0,0,0,0
COVASNA,"SAT BATANII MICI,COM BATANI",1,1,0,0,0,0
COVASNA,"SAT BELIN, COM. BELIN, NR. 23",1,1,0,0,0,0
COVASNA,"SAT BELIN, COM. BELIN, NR. 272",1,1,0,0,0,0
COVASNA,"SAT BELIN, COM. BELIN, NR.608, JUD. COVASNA",1,1,0,0,0,0
COVASNA,SAT BIBORTENI,1,1,0,0,0,0
COVASNA,SAT BIXAD,1,1,0,0,0,0
COVASNA,"SAT BIXAD, COM. BIXAD, NR. 646",1,1,0,0,0,0
COVASNA,"SAT BOROSNEU MIC, COM. BOROSNEUL MARE",1,0,1,0,0,0
COVASNA,"SAT CHILIENI, NR. 185",1,1,0,0,0,0
COVASNA,"SAT COSENI, NR. 6/A",1,1,0,0,0,0
COVASNA,"SAT DOBOSENI, NR. 176",1,1,0,0,0,0
COVASNA,"SAT FILIA, NR. 247/B",1,1,0,0,0,0
COVASNA,SAT LET,1,1,0,0,0,0
COVASNA,"SAT MAGHERUS, COM. OZUN, NR. 93",1,1,0,0,0,0
COVASNA,"SAT OZUN, COM. OZUN",1,1,0,0,0,0
COVASNA,SAT PAPAUTI,1,1,0,0,0,0
COVASNA,SAT RACOSUL DE SUS,1,1,0,0,0,0
COVASNA,"SAT RACOSUL DE SUS, NR.137",1,1,0,0,0,0
COVASNA,"SAT SANCRAI,COM.ILIENI",1,1,0,0,0,0
COVASNA,"SAT SANCRAIU, COM. ILIENI, NR. 789",1,1,0,0,0,0
COVASNA,"SAT TALISOARA, COM. BRADUT",1,1,0,0,0,0
COVASNA,"SAT VALCELE, COM. VALCELE, NR. 121",1,1,0,0,0,0
COVASNA,"SAT VALCELE, COM. VALCELE, NR. 313 A",1,1,0,0,0,0
COVASNA,"SAT VALCELE, COM. VALCELE, NR.134",1,1,0,0,0,0
COVASNA,"SAT ZOLTAN, NR. 117",1,1,0,0,0,0
COVASNA,SAT. FLOROAIA MARE OR. ÎNTORSURA BUZAULUI,1,1,0,0,0,0
COVASNA,SAT.BĂTANII MARI (COM.BATANI) NR.303A,1,1,0,0,0,0
COVASNA,SAT.FILIA,1,1,0,0,0,0
COVASNA,SAT.TALISOARA,1,1,0,0,0,0
COVASNA,"SF. GHEORGHE,",1,1,0,0,0,0
COVASNA,"SF. GHEORGHE, STR. CRÂNGULUI, NR.24, BL.25, AP.14",1,1,0,0,0,0
COVASNA,SF.GHEORGHE SAT COSENI,1,1,0,0,0,0
COVASNA,"SFANTU GHEORGHE, STR. FANULUI, NR. 16",1,1,0,0,0,0
COVASNA,SFANTU GHEORHE,1,1,0,0,0,0
COVASNA,SFÂNTU GHEORGE,1,0,0,1,0,0
COVASNA,SFÂNTU GHEORGHEI,1,0,0,0,1,0
COVASNA,"SITA BUZĂULUI, NR.274",1,1,0,0,0,0
COVASNA,"Sf. Gheorghe, str. LIvezii, nr.3, jud. Covasna",1,1,0,0,0,0
COVASNA,"Sf.Gheorghe, Str.Ciucului nr.153, jud.Covasna",1,1,0,0,0,0
COVASNA,"Sf.Gheorghe, str.Nicolae Iorga nr.10, bl.9, sc.B, ap.16, jud.Covasna",1,0,1,0,0,0
COVASNA,"Sf.Gheorghe, str.Nicolea Iorga nr.61, bl.10 E, sc.B, ap.4, jud.Covasna",1,1,0,0,0,0
COVASNA,"Sf.Gheorghe, str.Viitorului nr.6, bl.1, sc.C, ap.9, jud.Covasna",1,1,0,0,0,0
COVASNA,"Sfantu Gheorghe, Str.Gabor Aron nr.14, Jud.Covasna",1,1,0,0,0,0
COVASNA,SÂNZIENI - VALEA SEACA NR.19,1,1,0,0,0,0
COVASNA,"TALISOARA, COM.BRADUT",1,1,0,0,0,0
COVASNA,"TALISOARA, NR. 51 A",1,1,0,0,0,0
COVASNA,TAMASFALAU,1,1,0,0,0,0
COVASNA,"TG. SECUIESC, SAT LUNGA",1,1,0,0,0,0
COVASNA,TG.ECUIESC,1,1,0,0,0,0
COVASNA,"TG.SECUIESC ,",1,1,0,0,0,0
COVASNA,"TG.SECUIESC,",1,1,0,0,0,0
COVASNA,"TG.SECUIESC, STR.GABOR ARON NR.13, ET.1, NR.2",1,1,0,0,0,0
COVASNA,"TG.SECUIESC, STR.PETOFI SANDOR NR.17",1,1,0,0,0,0
COVASNA,TG.SECUIESC- SASAUSI NR.504,1,1,0,0,0,0
COVASNA,Targu Secuiesc,1,1,0,0,0,0
COVASNA,Turia,1,1,0,0,0,0
COVASNA,Târgu Secuiesc (punct de lucru),1,1,0,0,0,0
COVASNA,"Târgu Secuiesc,",1,1,0,0,0,0
COVASNA,"Târgu Secuiesc, judeţul Covasna",1,1,0,0,0,0
COVASNA,VALCELE,1,0,1,0,0,0
COVASNA,"VALEA CRISULUI, COM. VALEA CRISULUI, NR. 80",1,1,0,0,0,0
COVASNA,VALEA CRIªULUI,1,1,0,0,0,0
COVASNA,VALEA ZALANULUI,1,1,0,0,0,0
COVASNA,"VALEA ZALANULUI, NR. 35",1,1,0,0,0,0
COVASNA,"VALEA ZALANULUI, NR. 69",1,1,0,0,0,0
COVASNA,Valcele,1,1,0,0,0,0
COVASNA,"Valea Criºului str. Imreh Lajos nr. 354, jud.Covasna",1,1,0,0,0,0
COVASNA,ZABALA NR.1013,1,1,0,0,0,0
COVASNA,ZAGON NR.128/A,1,1,0,0,0,0
COVASNA,"ZALAN, NR. 86",1,1,0,0,0,0
COVASNA,Zagon,1,1,0,0,0,0
COVASNA,"Zagon, nr. 128A",1,1,0,0,0,0
COVASNA,ZĂBALA,1,1,0,0,0,0
COVASNA,Zăbala,1,1,0,0,0,0
COVASNA,com. Aita Mare,1,1,0,0,0,0
COVASNA,com. Arcuº,1,1,0,0,0,0
COVASNA,com. Dobârlau,1,1,0,0,0,0
COVASNA,com. Ghidfalau,1,1,0,0,0,0
COVASNA,com. Ozun sat Magherus,1,1,0,0,0,0
COVASNA,"com. Reci, sat Reci",1,1,0,0,0,0
COVASNA,comuna Arcus,1,1,0,0,0,0
COVASNA,comuna Bretcu,1,1,0,0,0,0
COVASNA,"comuna Breţcu, sat Mărtănuş",1,1,0,0,0,0
COVASNA,"comuna Cernat, sat Cernat, nr. 654/C",1,1,0,0,0,0
COVASNA,comuna Ghelinţa,1,1,0,0,0,0
COVASNA,"comuna Ilieni, sat Ilieni, nr. 457",1,1,0,0,0,0
COVASNA,"comuna Ilieni, sat. Sancraiu",1,1,0,0,0,0
COVASNA,"comuna Ilieni, sat.Sâncraiu",1,1,0,0,0,0
COVASNA,comuna Mereni,1,1,0,0,0,0
COVASNA,comuna Sînzieni,1,1,0,0,0,0
COVASNA,"comuna Zabala, sat Zabala",1,1,0,0,0,0
COVASNA,comuna Zăbala,1,1,0,0,0,0
COVASNA,deschidere punct de lucru,1,1,0,0,0,0
COVASNA,modificarea sediului Asociaþiei hotãrâtã cu ocazia Adunãrii Generale din data de 07.05.2015 astfel cum rezultã din „Procesul – verbal” încheiat la data de 07.05.2016 ºi pct. II din „Act Adiþional la Actul Constitutiv ºi la Statutul Asociaþiei «Asociaþia Crescãtorilor de Bovine Comuna Ozun»” autentificat sub nr. 2770/24.06.2016 de BIN Grãmadã Claudiu – Gabriel,1,1,0,0,0,0
COVASNA,mun. Santu Gheorghe,1,1,0,0,0,0
COVASNA,"mun. Sf. Gheorghe, str. Jozef Bem, nr.2, bl.3, sc.C, ap.12, jud. Covasna",1,1,0,0,0,0
COVASNA,"mun. Sf. Gheorghe, str.Vasile Goldiº nr.20, bl.16, sc.C, ap.5, jud. Covasna",1,1,0,0,0,0
COVASNA,"mun. Sfantu Gheorghe, Aleea Luceafarului, nr. 10, bl. 61, sc. J, et. 1, ap. 6, jud. Covasna",1,1,0,0,0,0
COVASNA,"mun. Sfântu Gheorghe, str. 1 Decembrie 1918 nr. 35, clădirea Triol Office Building",1,1,0,0,0,0
COVASNA,"mun. Sfântu Gheorghe, str.Ferenczvaros, nr.5, jud. Covasna",1,1,0,0,0,0
COVASNA,orasul Covasna,1,1,0,0,0,0
COVASNA,oraş Covasna,1,1,0,0,0,0
COVASNA,sat Biborteni,1,0,1,0,0,0
COVASNA,"sat Chilieni, mun. Sfântu Gheorghe,",1,1,0,0,0,0
COVASNA,sat Ghidfalau,1,1,0,0,0,0
COVASNA,"sat Păpăuţi, comuna Zagon, DN 13E/KM 65, județul Covasna",1,1,0,0,0,0
COVASNA,"sat Reci, com. Reci",1,1,0,0,0,0
COVASNA,"sat Sâncraiu, comuna Ilieni",1,1,0,0,0,0
COVASNA,"sat. Fotoº,( com. Ghidfalãu), nr.128 B",1,1,0,0,0,0
COVASNA,"satul Vârghiş, nr. 654",1,1,0,0,0,0
COVASNA,sediul asociatiei,1,1,0,0,0,0
COVASNA,"str.Ciucului nr.21, jud.Covasna.",1,1,0,0,0,0
DAMBOVITA,", COMUNA TĂRTASESTI,",1,1,0,0,0,0
DAMBOVITA,-,1,1,0,0,0,0
DAMBOVITA,". COMUNA. SLOBOZIA MOARA, SAT SLOBOZIA MOARA, STR. GAROAFEI, NR. 13.",1,1,0,0,0,0
DAMBOVITA,"2.1. TITU, STR. GĂRII NR. 54 BIS, JUD. DAMBOVITA.",1,1,0,0,0,0
DAMBOVITA,ADANCA,1,1,0,0,0,0
DAMBOVITA,"ANINOASA, SAT ANINOASA",1,1,0,0,0,0
DAMBOVITA,"ANINOASA, VIFORÂTA",1,1,0,0,0,0
DAMBOVITA,"ANINOASA,SAT VIFORATA",1,0,1,0,0,0
DAMBOVITA,"B-DUL I.C. BRATIANU (T.VLADIMIRESCU) NR.133, PARTER",1,0,1,0,0,0
DAMBOVITA,BALDANA,1,1,0,0,0,0
DAMBOVITA,BALENI ROMANI,1,0,1,0,0,0
DAMBOVITA,BALENI SARBI,1,0,1,0,0,0
DAMBOVITA,"BOLOVANI,COM.CORNATELU,STR.ION BOLOVANEANU ,NR.159,TARLA 9 PARCELA 8",1,1,0,0,0,0
DAMBOVITA,BRANISTEA,1,1,0,0,0,0
DAMBOVITA,BRASOV,1,0,0,1,0,0
DAMBOVITA,BUCURESTI SECTOR 6,1,1,0,0,0,0
DAMBOVITA,"BUCURESTI, SECTOR 3",1,1,0,0,0,0
DAMBOVITA,Baleni,1,1,0,0,0,0
DAMBOVITA,Bezdead Dambovita,1,0,1,0,0,0
DAMBOVITA,"Bucuresti, strada Radu de la Afumati nr. 36, camera 1, sector 2",1,1,0,0,0,0
DAMBOVITA,"Bucureºti, str. Calea ªerban Vodã, nr. 133, clãdirea D-E, parter, sector 4.",1,1,0,0,0,0
DAMBOVITA,"Bucureşti, sector 1",1,0,1,0,0,0
DAMBOVITA,BÃLENI,1,1,0,0,0,0
DAMBOVITA,"BĂLENI, SAT BĂLENI",1,1,0,0,0,0
DAMBOVITA,"BĂLENI, SAT BĂLENI-SÂRBI",1,1,0,0,0,0
DAMBOVITA,CANDESTI,1,1,0,0,0,0
DAMBOVITA,CANDESTI VALE,1,1,0,0,0,0
DAMBOVITA,CARAGIALE,1,0,1,0,0,0
DAMBOVITA,"CIOCANESTI, SAT VIZURESTI",1,1,0,0,0,0
DAMBOVITA,"CIOCANESTI, SAT VIZURESTI, NR. 171.",1,1,0,0,0,0
DAMBOVITA,COBIA,1,0,1,0,0,0
DAMBOVITA,"COM BARBULETU, SAT BARBULETU",1,1,0,0,0,0
DAMBOVITA,COM CANDESTI,1,1,0,0,0,0
DAMBOVITA,COM CREVEDIA,1,1,0,0,0,0
DAMBOVITA,"COM DRAGODANA, SAT PICIOR DE MUNTE",1,0,1,0,0,0
DAMBOVITA,"COM DRAGOMIRESTI, SAT GEANGOESTI",1,0,1,0,0,0
DAMBOVITA,COM GURA OCNITEI,1,0,1,0,0,0
DAMBOVITA,COM RAZVAD,1,1,0,0,0,0
DAMBOVITA,COM VALEA LUNGA,1,1,0,0,0,0
DAMBOVITA,COM. ANINOASA,1,1,0,0,0,0
DAMBOVITA,"COM. ANINOASA, SAT VIFORÂTA,",1,1,0,0,0,0
DAMBOVITA,COM. BRANESTI,1,0,1,0,0,0
DAMBOVITA,"COM. BRĂNEŞTI, SAT PRIBOIU",1,1,0,0,0,0
DAMBOVITA,COM. BUCIUMENI,1,1,0,0,0,0
DAMBOVITA,"COM. BUCSANI, SAT RACOVITA",1,0,0,0,1,0
DAMBOVITA,"COM. BĂLENI, SAT BĂLENI-SÂRBI",1,1,0,0,0,0
DAMBOVITA,"COM. CIOCĂNEŞI, STR. SFÂNTUL MIHAIL NR. 852, CAMERA 2",1,1,0,0,0,0
DAMBOVITA,"COM. COBIA, SAT GHERGHIÞEªTI",1,1,0,0,0,0
DAMBOVITA,COM. COMISANI,1,1,0,0,0,0
DAMBOVITA,"COM. CORNESTI, SAT. FRASIN",1,1,0,0,0,0
DAMBOVITA,"COM. CREVEDIA, STR. UZINEI NR. 1581-33,",1,1,0,0,0,0
DAMBOVITA,COM. DRAGODANA,1,1,0,0,0,0
DAMBOVITA,COM. DRAGOMIRESTI,1,1,0,0,0,0
DAMBOVITA,"COM. DRAGOMIREŞTI, SAT DECINDENI",1,1,0,0,0,0
DAMBOVITA,COM. DÃRMÃNEºTI,1,1,0,0,0,0
DAMBOVITA,"COM. LUNGULEŢU,",1,1,0,0,0,0
DAMBOVITA,"COM. OCNITA, SAT OCNITA",1,1,0,0,0,0
DAMBOVITA,"COM. POIANA, SAT POIANA, NR. 1151",1,1,0,0,0,0
DAMBOVITA,COM. POTLOGI,1,1,0,0,0,0
DAMBOVITA,"COM. POTLOGI, STR. TÂRGULUI, NR. 38,",1,1,0,0,0,0
DAMBOVITA,COM. PUCHENI,1,0,0,0,1,0
DAMBOVITA,"COM. RAZVAD, SAT VALEA VOIEVOZILOR",1,0,1,0,0,0
DAMBOVITA,COM. RÂU ALB,1,1,0,0,0,0
DAMBOVITA,COM. RÃZVAD,1,1,0,0,0,0
DAMBOVITA,"COM. RĂZVAD, LOC. VALEA VOIEVOZILOR",1,1,0,0,0,0
DAMBOVITA,"COM. SALCIOARA, SAT CUZA VODA NR. 37,",1,1,0,0,0,0
DAMBOVITA,"COM. TARTASESTI, SAT GULIA, STR. CODRULUI 1G",1,1,0,0,0,0
DAMBOVITA,COM. ULMI,1,0,1,0,0,0
DAMBOVITA,"COM. ULMI, SAT ULMI, STR. FERMIERILOR, NR. 148",1,1,0,0,0,0
DAMBOVITA,"COM. ULMI, STR. ULMI, NR. 29",1,0,1,0,0,0
DAMBOVITA,COM. VALEA LUNGA,1,1,0,0,0,0
DAMBOVITA,"COM. VLADENI, SAT VLADENI",1,1,0,0,0,0
DAMBOVITA,COM. VOINESTI,1,1,0,0,0,0
DAMBOVITA,"COM. VOINEŞTI, SAT VOINEŞTI",1,1,0,0,0,0
DAMBOVITA,COM.BEZDEAD,1,1,0,0,0,0
DAMBOVITA,COM.BILCIUREŞTI,1,1,0,0,0,0
DAMBOVITA,COM.COMISANI,1,1,0,0,0,0
DAMBOVITA,"COM.DRAGOMIREŞTI, LOC. UNGURENI",1,1,0,0,0,0
DAMBOVITA,COM.RACIU,1,1,0,0,0,0
DAMBOVITA,COM.RĂZVAD,1,1,0,0,0,0
DAMBOVITA,"COM.VISINESTI, SAT VISINESTI, NR. 249, JUD. DÂMBOVITA",1,1,0,0,0,0
DAMBOVITA,"COMUNA ANINOASA, SAT ANINOASA",1,1,0,0,0,0
DAMBOVITA,"COMUNA ANINOASA, SAT VIFORÂTA,",1,1,0,0,0,0
DAMBOVITA,COMUNA BALENI,1,1,0,0,0,0
DAMBOVITA,"COMUNA BRANIŞTEA,",1,1,0,0,0,0
DAMBOVITA,"COMUNA BRANIŞTEA, SATUL BRANIŞTEA NR. 712, CAMERA NR. 1",1,1,0,0,0,0
DAMBOVITA,"COMUNA BREZOAELE, SAT BREZOAIA, STRADA PRINCIPALĂ NR. 699A,",1,1,0,0,0,0
DAMBOVITA,"COMUNA BREZOAIERLE, SAT BREZOAIA, NR. 699 A",1,1,0,0,0,0
DAMBOVITA,COMUNA BRÃNESTI,1,1,0,0,0,0
DAMBOVITA,COMUNA BUCIUMENI,1,1,0,0,0,0
DAMBOVITA,"COMUNA BUCSANI, SAT BUCSANI,",1,1,0,0,0,0
DAMBOVITA,"COMUNA BUCŞANI, SAT BUCŞANI",1,1,0,0,0,0
DAMBOVITA,"COMUNA BUCŞANI, SAT RACOVIŢA",1,1,0,0,0,0
DAMBOVITA,"COMUNA BUTIMANU, NR. 597",1,1,0,0,0,0
DAMBOVITA,"COMUNA BUTIMANU, SAT BUTIMANU",1,1,0,0,0,0
DAMBOVITA,"COMUNA BĂLENI, SAT BĂLENI SÂRBI",1,1,0,0,0,0
DAMBOVITA,"COMUNA BĂLENI, SAT BĂLENI-SÂRBI",1,1,0,0,0,0
DAMBOVITA,"COMUNA BĂRBULEŢU, SAT GURA BĂRBULEŢULUI",1,1,0,0,0,0
DAMBOVITA,"COMUNA CIOCANESTI, SAT CIOCANESTI STR.SF.GHEORGHE, NR.962",1,1,0,0,0,0
DAMBOVITA,"COMUNA CIOCANESTI, SATUL CRETU",1,0,0,1,0,0
DAMBOVITA,COMUNA CIOCANESTI; SAT URZICEANCA; STR ION CREANGA; NR: 317;,1,1,0,0,0,0
DAMBOVITA,"COMUNA CIOCĂNEŞTI, SAT CREŢU, STR. CODRILOR NR. 1",1,1,0,0,0,0
DAMBOVITA,"COMUNA CIOCĂNEŞTI, STR. SF. MIHAIL NR. 852, CAM. 1",1,1,0,0,0,0
DAMBOVITA,"COMUNA COBIA, SAT COBIUTA, NR.12",1,1,0,0,0,0
DAMBOVITA,"COMUNA COBIA, SAT CRĂCIUNEŞTI, NR.13",1,1,0,0,0,0
DAMBOVITA,"COMUNA COMIŞANI, SAT LAZURI",1,1,0,0,0,0
DAMBOVITA,"COMUNA CONTESTI ,SAT CRINGASI ,STR 26 OCTOMBRIE,NR.26",1,1,0,0,0,0
DAMBOVITA,"COMUNA CONTESTI ,SATUL BALTENI ,STR, EROILOR,NR.186D",1,1,0,0,0,0
DAMBOVITA,COMUNA CONTESTI SAT MERENI,1,0,0,1,0,0
DAMBOVITA,"COMUNA CONTESTI,",1,1,0,0,0,0
DAMBOVITA,"COMUNA CONTESTI, SAT CONTESTI",1,1,0,0,0,0
DAMBOVITA,"COMUNA CONTESTI, SAT CONTESTI, STR. PRIMARIEI, NR. 444,UDETUL DAMBOVITA",1,1,0,0,0,0
DAMBOVITA,COMUNA CONÞEªTI SAT BÃLTENI,1,1,0,0,0,0
DAMBOVITA,"COMUNA CONŢEŞTI, SAT BĂLTENI",1,1,0,0,0,0
DAMBOVITA,"COMUNA CORBII MARI, SAT PETREªTI",1,1,0,0,0,0
DAMBOVITA,"COMUNA CORBII MARI, SAT UNGURENI, STR. PARCULUI, NR. 28",1,1,0,0,0,0
DAMBOVITA,"COMUNA CORNATELU,",1,1,0,0,0,0
DAMBOVITA,"COMUNA CORNATELU, SAT CORNI",1,1,0,0,0,0
DAMBOVITA,COMUNA CORNEŞTI,1,1,0,0,0,0
DAMBOVITA,"COMUNA CORNEŞTI, SAT CORNEŞTI",1,0,1,0,0,0
DAMBOVITA,"COMUNA CORNEŞTI, SAT CRIVATU,",1,1,0,0,0,0
DAMBOVITA,"COMUNA CORNEŞTI,SAT CORNEŞTI",1,1,0,0,0,0
DAMBOVITA,COMUNA CORNEŞTI. SAT CORNEŞTI,1,1,0,0,0,0
DAMBOVITA,"COMUNA CORNĂŢELU, SATUL ALUNIŞU, STR. ÎNV. ST. STĂNCESCU NR. 90, JUDEŢUL DÂMBOVIŢA",1,1,0,0,0,0
DAMBOVITA,"COMUNA COSTESTI DIN VALE, SAT COSTESTI DIN VALE, STR. CRIZANTEMELOR, NR.560B, CAMERA 1",1,1,0,0,0,0
DAMBOVITA,COMUNA COSTESTII DIN VALE,1,1,0,0,0,0
DAMBOVITA,"COMUNA CRANGURILE,",1,1,0,0,0,0
DAMBOVITA,COMUNA CREVEDIA,1,1,0,0,0,0
DAMBOVITA,"COMUNA CREVEDIA, SAT CREVEDIA, SOS. BUCURESTI-TARGOVISTE, NR. 201",1,1,0,0,0,0
DAMBOVITA,"COMUNA CREVEDIA, SAT DARZA, STR GARII, NR 299,",1,1,0,0,0,0
DAMBOVITA,"COMUNA CREVEDIA, SAT DÂRZA, STRADA GAVANEI NR. 86, M38, PARTER",1,1,0,0,0,0
DAMBOVITA,"COMUNA CREVEDIA, SAT MÂNĂSTIREA, STR. PĂCII, NR. 185A,",1,1,0,0,0,0
DAMBOVITA,"COMUNA CREVEDIA, SAT SAMURCAS, PARCELA CC SIA, TARLA 2",1,1,0,0,0,0
DAMBOVITA,"COMUNA CREVEDIA, SAT SAMURCASI, STR. TRAIAN LALESCU (FOSTÒ DR. DARABAN), NR. 252, CAMERA 1, JUDETUL DAMBOVITA",1,1,0,0,0,0
DAMBOVITA,"COMUNA CREVEDIA, SAT SAMURCAŞI, STR. GULIEI NR. 189,",1,1,0,0,0,0
DAMBOVITA,"COMUNA CREVEDIA, SAT SAMURCAșI, STR. GULIEI, NR. 188 B",1,1,0,0,0,0
DAMBOVITA,"COMUNA CREVEDIA, SATUL CREVEDIA, STR. NOUĂ NR. 321",1,1,0,0,0,0
DAMBOVITA,"COMUNA CREVEDIA,SAT CREVEDIA ,STR DEALU MARE ,NR.143B",1,1,0,0,0,0
DAMBOVITA,"COMUNA CREVEDIA,SAT CREVEDIA,SOS. BUCURESTI/TARGOVISTE,NR.195",1,1,0,0,0,0
DAMBOVITA,"COMUNA CREVEDIA,SAT SAMURCAº,STR. GULIEI,NR. 160",1,1,0,0,0,0
DAMBOVITA,COMUNA CREVEDIA; SAT SAMURCAS; STR ERNEST MAFTEI; NR:235,1,1,0,0,0,0
DAMBOVITA,"COMUNA CÂNDEŞTI, SAT DRAGODĂNEŞTI",1,1,0,0,0,0
DAMBOVITA,"COMUNA DOBRA, SAT DOBRA",1,1,0,0,0,0
DAMBOVITA,"COMUNA DOBRA, SAT MĂRCEŞTI",1,1,0,0,0,0
DAMBOVITA,COMUNA DOICESTI,1,1,0,0,0,0
DAMBOVITA,"COMUNA DRAGODANA NR.195, JUDEÞUL DÂMBOVIÞA",1,1,0,0,0,0
DAMBOVITA,"COMUNA DRAGODANA, SAT BURDUCA, NR. 206",1,1,0,0,0,0
DAMBOVITA,COMUNA DRAGOMIRESTI,1,1,0,0,0,0
DAMBOVITA,COMUNA DRAGOMIREŞTI,1,1,0,0,0,0
DAMBOVITA,"COMUNA DRAGOMIREŞTI, SAT UNGURENI",1,1,0,0,0,0
DAMBOVITA,"COMUNA DÃRMÃNEªTI, SAT DÃRMÃNEªTI, STR. PRINCIPALÃ, NR. 897, JUDEÞUL DÂMBOVIÞA",1,1,0,0,0,0
DAMBOVITA,"COMUNA DĂRMĂNEŞTI, NR. 919",1,1,0,0,0,0
DAMBOVITA,COMUNA FINTA,1,1,0,0,0,0
DAMBOVITA,"COMUNA FINTA, SAT FINTA MARE",1,1,0,0,0,0
DAMBOVITA,"COMUNA FINTA, SAT FINTA-MARE",1,1,0,0,0,0
DAMBOVITA,"COMUNA FINTA, SAT GHEBOAIA",1,1,0,0,0,0
DAMBOVITA,COMUNA GLODENI,1,1,0,0,0,0
DAMBOVITA,COMUNA GURA FOII,1,1,0,0,0,0
DAMBOVITA,COMUNA GURA OCNITEI NR.45,1,0,0,0,1,0
DAMBOVITA,"COMUNA GURA OCNIÞEI, SAT GURA OCNIÞEI",1,1,0,0,0,0
DAMBOVITA,"COMUNA GURA OCNIÞEI, SAT OCHIURI",1,1,0,0,0,0
DAMBOVITA,COMUNA GURA SUTII,1,1,0,0,0,0
DAMBOVITA,COMUNA GURA ªUÞII NR. 86,1,1,0,0,0,0
DAMBOVITA,COMUNA GURA ªUÞII NR.661,1,1,0,0,0,0
DAMBOVITA,"COMUNA HULUBESTI,",1,1,0,0,0,0
DAMBOVITA,COMUNA I.L.CARAGIALE D.N. 72,1,1,0,0,0,0
