judet,localitate,total_active,asociatii_active,fundatii_active,federatii_active,uniuni_active,persoane_juridice_straine_active
HUNEDOARA,URICANI,22,22,0,0,0,0
MURES,SÂNCRAIU DE MUREŞ,22,20,2,0,0,0
SATU MARE,LIVADA,22,16,6,0,0,0
SIBIU,OCNA SIBIULUI,22,20,2,0,0,0
SUCEAVA,SOLCA,22,10,12,0,0,0
SUCEAVA,VOLOVAT,22,1,21,0,0,0
TULCEA,MACIN,22,22,0,0,0,0
ALBA,VINTU DE JOS,21,21,0,0,0,0
BRASOV,BRAN,21,21,0,0,0,0
BUCURESTI,"BUCURESTI, SECTOR 6",21,21,0,0,0,0
CARAS-SEVERIN,OTELU ROSU,21,17,4,0,0,0
CLUJ,COMUNA IARA,21,21,0,0,0,0
CLUJ,DEZMIR,21,19,2,0,0,0
CONSTANTA,Constanţa,21,19,2,0,0,0
MARAMURES,TIRGU LAPUS,21,21,0,0,0,0
MARAMURES,ULMENI,21,14,7,0,0,0
MURES,TARGU MURES,21,19,1,1,0,0
MURES,TÂRNĂVENI,21,21,0,0,0,0
SUCEAVA,CASVANA,21,2,19,0,0,0
ARGES,BASCOV,20,16,4,0,0,0
BIHOR,ALEŞD,20,18,2,0,0,0
BIHOR,ŞTEI,20,19,1,0,0,0
BUCURESTI,Bucureşti.,20,19,1,0,0,0
CLUJ,CHINTENI,20,16,4,0,0,0
COVASNA,TARGU SECUIESC,20,20,0,0,0,0
DAMBOVITA,TÂRGOVIªTE,20,19,1,0,0,0
DOLJ,FILIAŞI,20,17,3,0,0,0
DOLJ,SEGARCEA,20,20,0,0,0,0
ILFOV,POPEŞTI-LEORDENI,20,19,1,0,0,0
MARAMURES,COPALNIC MANASTUR,20,12,8,0,0,0
MEHEDINTI,ORŞOVA,20,20,0,0,0,0
MURES,TÂRGU-MUREŞ,20,20,0,0,0,0
NEAMT,COMUNA BORCA,20,20,0,0,0,0
OLT,SCORNICESTI,20,20,0,0,0,0
PRAHOVA,NEPRECIZAT,20,15,4,1,0,0
SUCEAVA,ARBORE,20,7,13,0,0,0
SUCEAVA,HORODNIC DE SUS,20,16,4,0,0,0
TIMIS,BUZIAŞ,20,19,1,0,0,0
TIMIS,NEPRECIZAT,20,20,0,0,0,0
VRANCEA,ODOBESTI,20,19,1,0,0,0
ARAD,CHISINEU CRIS,19,19,0,0,0,0
ARAD,ªIRIA,19,19,0,0,0,0
BACAU,DĂRMĂNEŞTI,19,18,1,0,0,0
BIHOR,BIHARIA,19,15,4,0,0,0
BISTRITA NASAUD,TELCIU,19,14,5,0,0,0
BRASOV,VICTORIA,19,19,0,0,0,0
BUZAU,RIMNICU SARAT,19,11,8,0,0,0
CALARASI,OLTENIÞA,19,13,5,0,1,0
GIURGIU,BOLINTIN VALE,19,14,2,1,2,0
HARGHITA,BAILE TUSNAD,19,13,4,0,2,0
HARGHITA,PRAID,19,17,2,0,0,0
ILFOV,BERCENI.,19,18,1,0,0,0
ILFOV,POPEŞTI LEORDENI,19,19,0,0,0,0
MARAMURES,TÂRGU LAPUS,19,19,0,0,0,0
MEHEDINTI,STREHAIA,19,18,1,0,0,0
NEAMT,ROZNOV,19,15,4,0,0,0
SATU MARE,NEGREªTI OAª,19,14,5,0,0,0
SIBIU,TĂLMACIU,19,13,6,0,0,0
SUCEAVA,SCHEIA,19,16,3,0,0,0
TELEORMAN,ROSIORI DE VEDE,19,18,1,0,0,0
VALCEA,COMUNA PERISANI,19,19,0,0,0,0
ALBA,BAIA DE ARIES,18,16,1,1,0,0
ARAD,LIVADA,18,15,3,0,0,0
ARGES,STEFANESTI,18,14,3,1,0,0
BISTRITA NASAUD,LECHINTA,18,12,6,0,0,0
BISTRITA NASAUD,MAIERU,18,9,9,0,0,0
COVASNA,COVASNA,18,17,1,0,0,0
DAMBOVITA,PIETROSITA,18,8,10,0,0,0
DOLJ,craiova,18,16,2,0,0,0
HARGHITA,CORUND,18,11,7,0,0,0
HARGHITA,SANDOMINIC,18,12,5,0,1,0
