priority_rank	priority_score	priority_reason	judet_rank_active	localitate_total_active	categorie	denumire	numar_registru_national	status_normalizat	judet_cheie	localitate_cheie	judet	localitate	adresa	scop_initial	hg_utilitate_publica	data_hg_utilitate_publica	sursa_url
21	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"CENTRALA SINDICALA NATIONALA ""ALFA METAL"""	105/C/2002	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	SPLAIUL INDEPENDENŢEI NR.202A,ET.3,CAM.29 SECTOR 6	- apărarea şi promovarea drepturilor socio-profesionale şi intereselor materiale, morale şi spirituale comune ale membrilor săi.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
22	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"CENTRALA TRANSPORTATORILOR ""ALFA TRANSPORT"""	6/C/2003	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	SPLAIUL INDEPENDENŢEI NR.202A, ETAJ 3,CAM.29, SECTOR 6	- apararea si promovarea drepturilor socio-profesionale şi intereselor materiale, morale şi spirituale comune ale membrilor săi.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
23	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	COMITETUL NATIONAL PARALIMPIC	82/C/2002	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR.VASILE CONTA NR.16, SECTOR 2	- scopul îl constituie crearea condiţiilor care să asigure posibilitatea de practicare a educaţiei fizice şi sportului de către persoane cu handicap fizic, senzorial, psihic şi mixt, în scopul dezvoltării personalităţii lor şi integrării în societate, precum şi mijloacele care să permită sportivilor cu handicap participarea la competiţii naţionale şi internaţionale destinate lor.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
24	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"CONFEDERATIA ""BLOCUL NATIONAL SINDICAL"" - REPREZENTATIVITATE"	27/C/2001	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	SPLAIUL INDEPENDENŢEI NR.202A ET.4, SECTOR 6	- îşi desfăşoară activitatea cu respectarea legislaţiei române şi a ţărilor în care îşi are membri, apărând şi promovând drepturile şi interesele profesionale, economice, sociale, culturale şi sportive ale acestora.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
25	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"CONFEDERATIA NATIONALA A OPERATORILOR CU METALE SI PIETRE PRETIOASE ""DIAMOND GOLD"" CDG 2008"	37/C/2008	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. GEORGE ENESCU NR.27-29, PALATUL UGIR 1903 - CAM.11, SECTOR 1	- reprezentarea unitara a intereselor membrilor sai, în atara si pe plan international			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
26	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	CONFEDERATIA NATIONALA A SINDICATELOR DIN COOPERATIA DE CONSUM SI CREDIT CONSINCOOP	11/C/2002	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR.BREZOIANU NR.31-33, SECTOR 1	a. realizarea unitatii si fortei de actiune a organizatiilor membre în lupta pentru promovarea principiilor cooperatiste, pentru apararea si punerea în valoare a drepturilor, libertatilor si intereselor membrilor de sindicat;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
27	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"CONFEDERATIA NATIONALA PATRONALA DIN AGRICULTURA SI INDUSTRIA ALIMENTARA A ROMÂNIEI ""ROMAGRIA"""	106/C/2002	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	BD.CAROL I NR.17, SECTOR 2	- a) reprezintă, promovează şi apărără interesele-organizaţiilor patronale asociaţiilor, uniunilor şi federaţiilor - componente în faţa organelor puterii legislative şi executive, şi altor organe din ţară şi străinătate;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
28	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	CONFEDERATIA OPERATORILOR SI TRANSPORTATORILOR AUTORIZATI DIN ROMANIA	16/C/2009	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. GEORGE ENESCU NR.27-29, PARTER, CAM.17, SECTOR 1	promovarea si apararea intereselor economice, de productie, comercializare, financiare, juridice, administrative si sociale, etc. ale membrilor sai, în raporturile acestora cu organele puterii si ale administratiei de stat, precum si în relatiile cu alte organe si organisme din tara si din strainatate,precum si vegherea la aplicarea corecta si coerenta a normelor de drept în care îsi desfasoara activitatea membrii sai, de catre organismele si autoritatile competente sa le implementeze si sa le coordoneze, conform atributiilor ce revin acestora prin legi.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
29	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	CONFEDERATIA PATRONALA CONCORDIA	27/C/2007	activa	BUCURESTI	BUCURESTI	BUCURESTI	Bucureşti	Str. Ion Ghica nr. 13, et. 4, sectorul 3	a) Reprezentarea unitara a intereselor membrilor sai, în tara si în plan in ternational, urmarind si sustinînd cresterea capacitatii competitive a economiei nationale.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
30	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"CONFEDERATIA SINDICALA ""CONSILIUL ROMÂN - AMALGAMATED TRANSIT UNION"""	3800/C/2005	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	B-DUL LIBERTATII NR.1, SECTOR 4	- Sa gaseasca modalităţile şi mijloacele de a ajuta Sindicatele din Sectorul de Transport din România în organizarea completă a tuturor lucrătorilor din diferite sisteme de transport şi toată industria referitoare la transport din România, unde există deja nuclee de lucrători care nu sunt organizaţii într-un sindicat şi a de întări sindicatele afiliate la CR-ATU.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
