priority_rank	priority_score	priority_reason	judet_rank_active	localitate_total_active	categorie	denumire	numar_registru_national	status_normalizat	judet_cheie	localitate_cheie	judet	localitate	adresa	scop_initial	hg_utilitate_publica	data_hg_utilitate_publica	sursa_url
3071	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDATIA ZÂMBET	4285/B/2015	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. TOAMNEI, NR. 78, SECTOR 2.	Fundaţia Zâmbet are ca scop îmbunătăţirea procesului educaţional pentru copii, adolescenţi şi adulţi.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3072	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDATIA “A DOUA CASÃ”	30/B/2023	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. POPA SOARE, NR. 39, SECTOR 2	Scopul FUNDATIEI “INTUKROM” este asigurarea integrarii cetatenilor ucraineni de origine basarabeana in societatea romaneasca sub toate aspectele, prin actiunile si activitatile specifice descrise mai jos.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3073	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDATIA “ART MILENIUM”	3998/B/2010	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		Bucureşti str. Kepler nr. 15 sector 2	Scopul infiintarii si ratiunea institutiei fundatiei consta in promovarea intereselor profesionale, morale si materiale ale membrilor sai.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3074	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDATIA „MISERICORS - TRUP PENTRU SUFLET”	3890/B/2017	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		B-DUL. FERDINAND I NR.58, SC.C, ET.1, BIROU NR.2, CAMERA 2, SECTOR 2	FUNDAŢIA MISERICORS – TRUP PENTRU SUFLET are ca scop sprijinirea şi facilitarea accesului persoanelor cu afecţiuni neuromotorii şi locomotorii la metode moderne şi eficiente de tratament şi recuperare.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3075	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDATIA „PLAN INTERNATIONAL ROMANIA”	86/B/2022	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. TUDOR ARGHEZI, NR. 8-10, CLADIREA UNIMED, ET. 1, BIROUL TOF118, SECTOR 2	Pentru a asigura şi promova protejarea intereselor Fondatorului Unic, Fundaţia va acţiona exclusiv în conformitate cu Scopul şi Obiectul acesteia,			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3076	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDATIA „SALVEAZA DELTA DUNARII IMPREUNA CU NOI”	17/B/2023	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		CALEA MOSILOR, NR. 154, SECTOR 2	(1) Fundatia are drept scop exclusiv efectuarea de operatiuni de colectarea de fonduri, care sa fie puse la dispozitia altor asociatii sau fundatii în vederea realizării de programe de către aceasta din urma.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3077	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDATIEI BIO-ECO	3287/B/1996	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. BRATULUI, NR. 20, SECTOR 2				https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3078	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAÞIA ARETE	73/B/2025	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. TUZLA, NR. 9-27, CONDOMINIUL EMERALD RESIDENCES, BL. L, AP. L6, CAM. 1, SECTOR 2	Misiunea ºi valorile Fundaþiei			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3079	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAÞIA CITY GRILL	56/B/2024	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		BUCUREºTI, BD. PACHE PROTOPOPESCU, NR. 51, ET. 2, AP. 5, SECTOR 2	(1) Fundația este constituitã în scopuri umanitare, sociale, caritabile, filantropice, educaționale, de sÒnÒtate, mediu și culturale, constÔnd ¯n inițierea și realizarea de programe sociale, umanitare, comunitare și dezvoltare durabilÒ.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3080	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAÞIA CMR	59/B/2024	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. BARBU VÃCÃRESCU, NR. 15, SECTOR 2	8.1.1. Susținerea dezvoltÒrii și integrÒrii socio-culturale, educativ, de învãþãmânt, ºtiinþific – cercetare fundamentalã ºi aplicatã, umanitar, filantropic, al protecþiei drepturilor omului, de asistenþã ºi servicii sociale, de protecþia mediului, social ºi comunitar, de reprezentare a asociaþiilor profesionale, precum ºi de întreþinere, restaurare, conservare ºi punere în valoare a monumentelor istorice, dezvoltãrii sprituale și economice a comunitÒților romÔnești din interiorul și din afara RomÔniei pe toate palierele etnice, politice, culturale sau de orice altÒ naturÒ;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3081	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAÞIA DANONE PENTRU SÃNÃTATE	16680/B/2014	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		prelungire sediu	Scopul infiintarii Fundatiei este incurajarea si promovarea unei nutritii naturale si sanatoase a nou-nascutilor in primele 1.000 de zile de viata.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3082	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAÞIA HOCHEIUL PE GHEAÞA ROMANESC	4127/B/1995	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		BD. BASARABIA NR. 35-37, SECTOR 2	"Obiectul activitãþii „FUNDAÞIEI HOCHEIULUI PE GHEAÞÃ ROMÂNESC"" îl constituie sprijinirea, sub diverse forme, a hocheiului pe gheaþã românesc în general, a echipelor reprezentative în special, precum ºi acþiuni umanitare în legãturã eu acestea."			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3083	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAÞIA REINSTAURÃM GLORIA ISTORICÃ	42/B/2024	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. TUDOR ARGHEZI NR. 54, ET. 6, AP. 18, SECTOR 2	Fundația REINSTAURÃM GLORIA ISTORICA are drept scopuri (1) protejarea, conservarea, punerea în valoare și promovarea patrimoniului cultural și (2) îmbunãtãțirea calitÒții vieții persoanelor, tinere și nu numai, care se confruntÒ cu diverse dificultÒți (materiale, fizice, psihice și de integrare socialÒ).			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3084	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAÞIA „TRÎMBIÞAºU CASA CU BINE”	4/B/2026	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		SECTOR 2, , STR. PIETROASA NR.17.	Scopul FUNDAȚIEI îl constituie:			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3085	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	"FUNDAŢIA ""ANDREA"""	3533/B/2006	activa	BUCURESTI	NEPRECIZAT	BUCURESTI						https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3086	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	"FUNDAŢIA ""BUNA VESTIRE PENTRU TOŢI"""	3537/B/2006	activa	BUCURESTI	NEPRECIZAT	BUCURESTI						https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3087	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	"FUNDAŢIA ""CENTRUL PENTRU IMPLEMENTAREA MANAGEMENTULUI PERFORMANT"""	3527/B/2006	activa	BUCURESTI	NEPRECIZAT	BUCURESTI						https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3088	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	"FUNDAŢIA ""CHABAD - LYUBAVITSH"""	2453/B/2000	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		Bucuresti, Str.Sfanta Ana nr.7-9 sector 2.	Fundatia are ca scop: ajutorarea unor categorii sociale defavorizate, cum ar fi persoane sarace sau in varsta si copii institutionalizati; asigurarea conditiilor necesare pentru cei interesati pentru studierea Cartii Tora si a obiceiurilor si religiei iudaice. Fundatia are ca obiect de activitate, in realizarea scopului propus:			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3089	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	"FUNDAŢIA ""FILDAS ART"""	3495/B/1997	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		Comuna Mogosoaia, sat Mogosoaia, str. Martha Bibescu nr.2, judeţul Ilfov	Promovarea artelor plastice romanesti.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3090	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	"FUNDAŢIA ""INSTITUTUL NAŢIONAL DEMOCRAT ROMÂNIA"""	3532/B/2006	activa	BUCURESTI	NEPRECIZAT	BUCURESTI						https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3091	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	"FUNDAŢIA ""OTONEUROCHIRURGIA"""	998/B/1999	activa	BUCURESTI	NEPRECIZAT	BUCURESTI						https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3092	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	"FUNDAŢIA ""TINERI PENTRU MISIUNE BUCUREŞTI"""	3529/B/2006	activa	BUCURESTI	NEPRECIZAT	BUCURESTI						https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3093	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	"FUNDAŢIA ""WINGS"""	3965/B/2010	activa	BUCURESTI	NEPRECIZAT	BUCURESTI						https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3094	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	"FUNDAŢIA ACADEMIEI DE TEATRU SI FILM ""CINEMAIUBIT"""	17402/B/1998	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. MATEI VOIEVOD NR. 75-77 SECTOR 2	statut autentificat sub nr. 2012/07.11.1997 şi act aditional nr. 91/21.01.1998			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3095	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA ADA FOR YOU	3881/B/2009	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. ZIDURI INTRE VII NR.95 SECTOR 2	Scopul principal al FUNDATIEI ADA FOR YOU este sustinerea persoanelor, cu precadere copii si tineri cu potential creativ - inventiv si capacitati deosebite in diverse domenii, cu prioritate in domeniul cultural – artistic, prin identificarea, pregatirea si promovarea acestora.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3096	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA ALEXANDRU GIUGARU	488/B/1994	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR.BREZOIANU NR.6,ET.2,AP.8,SECTOR 5	Este nepatrimonial si nelucrativ, in sensul obtinerii de profit.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3097	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA AMA - LUMINA OCHILOR	4334/B/1998	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. TOAMNEI NR.54 SECTOR 2	Scopul fundatiei:			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3098	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA ANIMAS – SĂNĂTATE DIN SUFLET	3907/B/2017	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. LAMAITEI NR. 42, CORP A PARTER, SECTOR 4	Scopul Fundatiei ANIMAS – Sanatate din Suflet este dezvoltarea de programe de promovare si cercetare in domenii sociale, stiintifice, cultural-formative si de sanatate prin care sa readuca in prim plan atat memoria inaintasilor, a personalitatilor si realizarilor acestora din domeniile mentionate, cat si preocuparile actuale din aceste arii de activitate, urmarind in principal dezvoltarea personalitatii umane, cresterea calitatii vietii si integrarea persoanelor si a grupurilor vulnerabile in societate.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3099	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA BUNA VESTIRE	162/B/1992	activa	BUCURESTI	NEPRECIZAT	BUCURESTI						https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3100	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA CENTENAR	16023/B/2018	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		SECTOR 2, STRADA ALECU RUSSO, NR. 13-19, ETAJ 2, AP. 4.	Fundaţia are drept scop desfășurarea de activitÒți pentru organizarea și promovarea sărbătoririi Centenarului Marii Uniri de la 1918.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3101	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA CENTRUL PENTRU EDUCAŢIE SI ÎNVĂŢARE CONTINUĂ	53/B/2023	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. POIANA CU ALUNI, NR. 6, BL. 17, SC. 3, ET. 7, AP. 100, SECTOR 2	"(1) Fundaţia ""CENTRUL PENTRU EDUCAȚIE ȘI ╬NV├ȚARE CONTINU├"" are drept scopuri :"			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3102	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA CREŞTINĂ G. BECALI	860/B/2001	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		Bucureşti,Aleea Alexandru nr.1-3, sector 1	Scopul fundatiei este de a desfăşura activitati in domeniul protectiei sociale, prin sprijinirea familiilor defavorizate, a minorilor aflati la nevoie, a orfanilor, a copiilor fara adapost, a copiilor handicapati, si a copiilor supeadotatti, in conformitate cu prevederile legislatiei romane si cu cele ale Conventirei Natiunilor unite cu privire la drepturile copiilor si cu ale altor norme aplicabile. Isi propune sa ajute moral si material oamenii saraci, neajutorati fara a tine cont de rasa, nationalitate, varsta sau de idei politice.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3103	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA CREŞTINĂ ÎNTOARCEREA ÎN EDEN	4306/B/2012	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. PROF. NIFON BĂLĂŞESCU NR.20, ET.2, LOT5/1, AP.5 SECTOR 2	Fundatia are ca scop sustinerea drepturilor persoanelor cu risc de marginalizare si excluziune sociala, combaterea marginalizarii si excluziunii sociale, a saraciei si a suferintei, incurajarea dezvoltarii persoanei umane in comunitate prin solidaritate si angajament social .			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3104	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	"FUNDAŢIA CULTURALĂ ""MIHAIL KOGĂLNICEANU"""	963/B/2007	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. ŞTEFAN FURTUNĂ	PUBLICAREA ŞI READUCEREA ÎN CONŞŢIINŢA SOCIETĂŢII ROMĂNEŞTI CONTEMPORANE -FĂRĂ EGAJ-ADUS DE MIHAIL KOGĂLNICEANU LA ÎNFĂPTUIREA MARILOR EVENIMENTE TRĂITE DE POPORUL ROMÂN			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3105	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA CULTURALĂ BUCUREŞTI 2000	16712/B/2000	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. BARBU VACARESCU NR.4, BL. 1, SC. 4, AP. 115, SECTOR 2	Scopul FUNDAŢIEI CULTURALE BUCUREŞTI 2000 este de a promova pe plan naţional si internaţional a valorile culturale romaneşti prin desfăşurarea unor programe si proiecte de interes naţional pentru susţinerea creaţiilor originale prin teatru, opera, operetaf carte, reviste, marionete, film, video, televiziune, internet, arte plastice. Colocviile, reuniunile de profil, contactele internaţionale, cu caracter cultural, educativ, documentar, intre persoane fizice si asociaţii profesionale vor avea ca scop favorizarea cunoaşterii si răspândirii artei scenice, cinematografice si literaturii din tara noastră in lume, stabilirea de legaturi culturale si spirituale cu originarii din România, precum si stimularea cunoaşterii altor culturi.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3106	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA CULTURALĂ TEATRUL PRINCIPAL	3567/B/2016	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. TELEAJEN NR.15, SECTOR 2.	Scopul Fundaţiei constă în sprijinirea și promovarea atÔt a tinerelor talente ale artei romÔnești, cÔt și a artiștilor consacrați, ¯n special din zona artei teatrale, a filmului, a muzicii, a dansului etc., dar și ¯n zona sportului de performanțÒ, care implicÒ elemente artistice, atÔt ¯n plan național cÔt și internațional, precum și sprijinirea activitÒților și a evenimentelor, concursurilor, festivalurilor ce imbinÒ elemente artistice, culturale și sportive, desfașurate atÔt ¯n RomÔnia, cÔt strÒinÒtate.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3107	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA DAN SETLACEC	2434/B/2000	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		SEDIUL CENTRAL LA INSTITUTUL CLINIC FUNDENI (CLADIRE A, CORP A1, ETAJ 1, CAMERA 1A), SOS. FUNDENI 258, SECTOR 2, BUCURESTI.	statut autentificat sub nr.736/19.05.2000			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3108	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	"FUNDAŢIA DE CERCETARE, DEZVOLTARE ŞI INSTRUIRE PERSONALĂ ""OLIMPIC"""	4332/B/2012	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. ŢEPEŞ VODĂ NR.120, ET.1, CAM.5 SECTOR 2	"Art.7. FUNDAŢIA DE CERCETARE, DEZVOLTARE ŞI INSTRUIRE PERSONALĂ ""OLIMPIC"" are ca scop principal dezvoltarea activităţilor sportive prin sprijinirea, promovarea, instruirea, cercetarea si exersarea sportului la toate nivelele de performanţă (începători, avansaţi şi profesionişti), precum si a sportului pentru toti."			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3109	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	"FUNDAŢIA DE PRIETENIE ROMÂNO- CHINEZĂ ""SHI SHI QIU SHI"""	3141/B/2009	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. ŢEPEŞ VODĂ NR. 69 SECTOR 2	cu caracter educativ şi informatic, cultural, filantropic			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3110	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA DIDONA	67/B/2022	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. DINU VINTILĂ NR.6B, BLOC C1, SC.B, ET.11, AP.77, SECTOR 2	(1) Fundația DIDONA contribuie la incluziunea socialÒ și la ¯mbunÒtÒțirea procesului de participare la viața publicÒ, socialÒ, economicÒ și culturalÒ pentru toate persoanele, inclusiv cele aparținÔnd grupurilor vulnerabile și la producerea schimbÒrilor pozitive și de duratÒ ¯n viața acestora.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3111	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA DUAT – DREPTUL URBANISMULUI ŞI AMENAJĂRII TERITORIULUI	12/B/2024	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		ALEEA BD. LACUL TEI NR. 1-3, SECTOR 2	Scopul exclusiv al FUNDAŢIEI DUAT - DREPTUL URBANISMULUI SI AMENAJĂRII TERITORIULUI constain a promova calitatea în arhitectură şi urbanism şi de a asigura că toţi oamenii beneficiază de un mediu construit care îmbunătăţeşte calitatea vieţii lor .			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3112	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA DĂRUIM ZÂMBETE	5/B/2020	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		BD. CHIŞINĂU NR.8, BL.M2, SC.B, ET.6, AP.62, SECTOR 2	Scopul: Scopul pentru care se constituie Fundația este un scop umanitar, filantropic, constÔnd ¯n sprijinirea și ajutorarea persoanelor care au nevoie de sprijin, desfÒșurarea de activitÒți de binefacere, prin folosirea bunurilor și fondurilor Fundației ¯n scopuri caritabile, ¯n beneficiul comunitÒților și persoanelor care au nevoie de sprijin (persoane fizice sau juridice, asociații, fundații, instituții de integrare socialÒ, spitale, biserici, așezÒminte de cult, persoane cu probleme speciale, cu dizabilitÒți sau malformații, copii abandonați, orfani, persoane aflate ¯n situații de risc social, oameni ai strÒzii, etc.), inclusiv prin organizarea și dezvoltarea unor structuri de servicii socio-medicale și structuri ale economiei sociale viabile, care sÒ vinÒ ¯n ¯ntÔmpinarea nevoilor tuturor categoriilor de persoane.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3113	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA ELENA TEODORINI	1020/B/1999	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. JEAN LOUIS CALDERON NR.59 AP.15 SECTOR 2	Fundatia va avea un program de dezvoltare a relatiilor internationale si de cooperare in domeniul culturii si artei lirice romanesti, stimuland creativitatea si afirmarea cultura a tinerelor talente atat, in tara cat si in strainatate.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3114	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA EUROPEAN BUSINESS LEADERS	95/B/2023	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. RADU DE LA AFUMAŢI NR. 61, CORP B(C1), AP. 1, SECTOR 2	(l) Scopul FUNDAȚIEI EUROPEAN BUSINESS LEADERS este să creeze o comunitate puternică și diversificatÒ de lideri de afaceri inovatori, antreprenori pasionați și profesioniști ambițioși din ¯ntreaga EuropÒ. Ne propunem sÒ stimulÒm și sÒ sprijinim creșterea și succesul afacerilor la nivel european prin oferirea de programe de formare de ¯naltÒ calitate, mentorat personalizat și oportunitÒți unice de networking și colaborare.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3115	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA FRANCISC CHIUARIU	16709/B/2014	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. LOGOFAT LUCA STROICI NR. 20, AP. 3 (LA MANSARDA), SECTOR 2	(1) Scopul Fundatiei consta in promovarea fenomenului artistic in toate formele sale de manifestare, de la creatie pana la receptie, pentru utilizarea si integrarea acestuia in viata de zi cu zi ca o alternativa, care pune in miscare si satisface nevoia fundamentala a omului de comunicare si de cunoastere.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3116	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA HELP NET	4301/B/2012	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. ING. GEORGE CONSTANTINESCU NR.2-4 PARTER, SECTOR 2	Art.6 – (1) Scopul Fundatiei HELP NET este acela de a contribui la sprijinirea categoriilor sociale defavorizate si asigurarea unor conditii care sa contribuie la imbunatatirea calitatii vietii.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3117	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA INIMII	17407/B/1998	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		"ŞOS. FUNDENI NR.258 SECTOR 2 ÎN INCINTA INSTITUTULUI DE CARDIOLOGIE ""PROF. DR. C.C. ILIESCU ÎN CAMERA 15"	statut autentificat sub nr. 736/16.02.1998			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3118	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA INIMĂ CĂTRE INIMĂ	4263/B/1997	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. TELEAJEN NR.52A SECTOR 2				https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3119	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA INTERNATIONAL MEDICAL CORPS RO	85/B/2023	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		B-DUL DIMITRIE POMPEIU, NR. 5-7, HERMES BUSINESS CAMPUS, CLĂDIREA B, ET. 2, BIROUL NR. 224, SECTOR 2	Fundația are ca scop colectarea și acordarea de ajutoare umanitare, promovarea și dezvoltarea voluntariatului, a cooperÒrii internaționale și a asistenței sociale, sprijinirea celor mai vulnerabile grupuri și protecția sÒnÒtÒții, atÔt pe teritoriul RomÔniei, cÔt și ¯n strÒinÒtate.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3120	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA ION LAZAR	56/B/2021	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STRADA BARBU VĂCĂRESCU, NR. 164A, CLĂDIREA C10 (C12B), CAM. 6, SECTOR 2	Scopul Fundatiei ION LAZAR consta in asistenta sociala, educatie, promovarea si sprijinirea sub diverse forme a culturii, prin sustinerea financiara si organizarea de cursuri, spectacole, expozitii, proiectii, acordarea de burse, precum si prin alte activitati specifice.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
3121	88	judet_prioritar | localitate_dense:4195 | categorie:fundatie	1	4195	fundatie	FUNDAŢIA M.E.V.	64/B/2023	activa	BUCURESTI	NEPRECIZAT	BUCURESTI		STR. RADU VODĂ NR. 1, BL. B8, SC. 2, ET. 8, AP. 66, SECTOR 4	Fundaţia are drept scop:			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
